Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,frequency_score,repeat_buyer_flag,subscription_flag,satisfaction_flag,promo_dependency_score,discount_sensitivity_segment,avg_spend_per_visit,spending_velocity_score,customer_lifetime_value_score,customer_lifetime_value_proxy,value_tier,value_tier_numeric,normalized_frequency_score,customer_engagement_score,low_frequency_risk,retention_risk_score,loyalty_score_v1,normalized_clv,loyalty_score_v2,normalized_spending_velocity,normalized_avg_spend,normalized_retention_risk
1,55,male,blouse,clothing,53,kentucky,l,gray,winter,3.1,yes,express,yes,yes,14,venmo,fortnightly,5,1,1,0,1.0,highly promo sensitive,3.533333333333333,265,3975,3975,medium,2,0.6666666666666666,0.6833333333333333,0.33333333333333337,0.7,0.4375,0.11095995238500128,0.39256147353082893,0.3602941176470588,0.06396486324615691,0.7000000000000001
2,19,male,sweater,clothing,64,maine,l,maroon,winter,3.1,yes,express,yes,yes,2,cash,fortnightly,5,0,1,0,1.0,highly promo sensitive,21.333333333333332,320,960,960,low,1,0.6666666666666666,0.5333333333333333,0.33333333333333337,0.7999999999999999,0.3,0.025508035031034777,0.3338297730451759,0.4411764705882353,0.4264324216410461,0.8
3,50,male,jeans,clothing,73,massachusetts,s,maroon,spring,3.1,yes,free shipping,yes,yes,23,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,3.0416666666666665,511,12264,12264,premium,4,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.34588895502083156,0.5854728989631733,0.7220588235294118,0.05395288480734677,0.6000000000000002
4,21,male,sandals,footwear,90,rhode island,m,maroon,spring,3.5,yes,next day air,yes,yes,49,paypal,weekly,7,1,1,0,1.0,highly promo sensitive,1.8,630,31500,31500,premium,4,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.8910806904174815,0.8112900063520008,0.8970588235294118,0.02866839688560591,0.6000000000000002
5,45,male,blouse,clothing,49,oregon,m,turquoise,spring,2.7,yes,free shipping,yes,yes,31,paypal,annually,1,1,1,0,1.0,highly promo sensitive,1.53125,49,1568,1568,low,1,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.042740129807556045,0.2284884571973505,0.04264705882352941,0.0231957476542224,0.9
6,46,male,sneakers,footwear,20,wyoming,m,white,summer,2.9,yes,standard,yes,yes,14,venmo,weekly,7,1,1,0,1.0,highly promo sensitive,1.3333333333333333,140,2100,2100,medium,2,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.05781821273701216,0.375530492105013,0.17647058823529413,0.01916550209622679,0.6000000000000002
7,63,male,shirt,clothing,85,montana,m,gray,fall,3.2,yes,free shipping,yes,yes,49,cash,quarterly,3,1,1,0,1.0,highly promo sensitive,1.7,255,12750,12750,premium,4,0.3333333333333333,0.5666666666666667,0.6666666666666667,0.8,0.32499999999999996,0.35966329393759033,0.4383331332703134,0.34558823529411764,0.026632062287881814,0.8000000000000002
8,27,male,shorts,clothing,34,louisiana,l,charcoal,winter,3.2,yes,free shipping,yes,yes,19,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,1.7,238,4760,4760,high,3,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.13320862738429273,0.4307406666433259,0.3205882352941177,0.026632062287881814,0.6000000000000002
9,26,male,coat,outerwear,97,west virginia,l,silver,summer,2.6,yes,express,yes,yes,8,venmo,annually,1,1,1,0,1.0,highly promo sensitive,10.777777777777779,97,873,873,low,1,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.02304225831136808,0.23571184923250824,0.11323529411764706,0.21148599188128037,0.9
10,57,male,handbag,accessories,31,missouri,m,pink,spring,4.8,yes,2-day shipping,yes,yes,4,cash,quarterly,3,0,1,1,1.0,highly promo sensitive,6.2,93,465,465,low,1,0.3333333333333333,0.6166666666666667,0.6666666666666667,0.7000000000000001,0.38749999999999996,0.011478615763965649,0.2938214370860154,0.10735294117647058,0.11826711918546616,0.7000000000000002
11,53,male,shoes,footwear,34,arkansas,l,purple,fall,4.1,yes,store pickup,yes,yes,26,bank transfer,bi-weekly,6,1,1,1,1.0,highly promo sensitive,1.2592592592592593,204,5508,5508,high,3,0.8333333333333334,0.9416666666666668,0.16666666666666663,0.45,0.69375,0.15440863872119717,0.4789940039445759,0.27058823529411763,0.01765710609791265,0.45000000000000007
12,30,male,shorts,clothing,68,hawaii,s,olive,winter,4.9,yes,store pickup,yes,yes,10,bank transfer,fortnightly,5,1,1,1,1.0,highly promo sensitive,6.181818181818182,340,3740,3740,medium,2,0.6666666666666666,0.8833333333333334,0.33333333333333337,0.5,0.6375,0.10429952101578664,0.4822891460810155,0.47058823529411764,0.11789687653133449,0.5000000000000001
13,61,male,coat,outerwear,72,delaware,m,gold,winter,4.5,yes,express,yes,yes,37,venmo,fortnightly,5,1,1,1,1.0,highly promo sensitive,1.894736842105263,360,13680,13680,premium,4,0.6666666666666666,0.8833333333333334,0.33333333333333337,0.5,0.6375,0.3860215968029929,0.5867742255477142,0.5,0.03059755597818663,0.5000000000000001
14,65,male,dress,clothing,51,new hampshire,m,violet,spring,4.7,yes,express,yes,yes,31,paypal,weekly,7,1,1,1,1.0,highly promo sensitive,1.59375,357,11424,11424,premium,4,1.0,0.9999999999999999,0.0,0.4,0.75,0.3220814556585324,0.6018461565393098,0.49558823529411766,0.02446845677779996,0.4000000000000001
15,64,male,coat,outerwear,53,new york,l,teal,winter,4.7,yes,free shipping,yes,yes,34,debit card,weekly,7,1,1,1,1.0,highly promo sensitive,1.5142857142857142,371,12985,12985,premium,4,1.0,0.9999999999999999,0.0,0.4,0.75,0.36632372530680496,0.6214485979750287,0.5161764705882353,0.022850298034965633,0.4000000000000001
16,64,male,skirt,clothing,81,rhode island,m,teal,winter,2.8,yes,store pickup,yes,yes,8,paypal,monthly,4,1,1,0,1.0,highly promo sensitive,9.0,324,2916,2916,medium,2,0.5,0.625,0.5,0.75,0.38125,0.08094549783181702,0.3802426889470183,0.4470588235294118,0.17528448792174087,0.7500000000000001
17,25,male,sunglasses,accessories,36,alabama,s,gray,spring,4.1,yes,next day air,yes,yes,44,debit card,bi-weekly,6,1,1,1,1.0,highly promo sensitive,0.8,216,9720,9720,premium,4,0.8333333333333334,0.9416666666666668,0.16666666666666663,0.45,0.69375,0.2737862426664399,0.5243055770901167,0.28823529411764703,0.008305050908364944,0.45000000000000007
18,53,male,dress,clothing,38,mississippi,xl,lavender,winter,4.7,yes,2-day shipping,yes,yes,36,venmo,quarterly,3,1,1,1,1.0,highly promo sensitive,1.027027027027027,114,4218,4218,medium,2,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.11784712184338067,0.3822268848020459,0.13823529411764707,0.01292808080590073,0.6000000000000002
19,52,male,sweater,clothing,48,montana,s,black,summer,4.6,yes,free shipping,yes,yes,17,cash,weekly,7,1,1,1,1.0,highly promo sensitive,2.6666666666666665,336,6048,6048,high,3,1.0,0.9999999999999999,0.0,0.4,0.75,0.16971345973981805,0.5423408873795245,0.4647058823529412,0.04631663006588141,0.4000000000000001
20,66,male,pants,clothing,90,rhode island,m,green,summer,3.3,yes,standard,yes,yes,46,debit card,bi-weekly,6,1,1,0,1.0,highly promo sensitive,1.9148936170212767,540,25380,25380,premium,4,0.8333333333333334,0.7416666666666667,0.16666666666666663,0.65,0.49375,0.717626052206445,0.7049436280761773,0.7647058823529411,0.031008015359586787,0.6500000000000001
21,21,male,pants,clothing,51,louisiana,m,black,winter,2.8,yes,express,yes,yes,50,cash,every 3 months,2,1,1,0,1.0,highly promo sensitive,1.0,102,5202,5202,high,3,0.16666666666666666,0.5083333333333333,0.8333333333333334,0.8500000000000001,0.26875,0.14573590681064535,0.299291881109216,0.12058823529411765,0.012377720103813137,0.8500000000000002
22,31,male,pants,clothing,62,north carolina,m,charcoal,winter,4.1,yes,store pickup,yes,yes,22,debit card,quarterly,3,1,1,1,1.0,highly promo sensitive,2.6956521739130435,186,4278,4278,medium,2,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.11954765751211632,0.4039985428743387,0.24411764705882352,0.04690687197826521,0.6000000000000002
23,56,male,pants,clothing,37,california,m,peach,summer,3.2,yes,store pickup,yes,yes,32,debit card,annually,1,1,1,0,1.0,highly promo sensitive,1.121212121212121,37,1221,1221,low,1,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.03290536519003486,0.2215168778165122,0.025,0.014846004464690829,0.9
24,31,male,pants,clothing,88,oklahoma,xl,white,winter,4.4,yes,express,yes,yes,40,credit card,weekly,7,1,1,1,1.0,highly promo sensitive,2.1463414634146343,616,25256,25256,premium,4,1.0,0.9999999999999999,0.0,0.4,0.75,0.7141116118243913,0.8152331817855957,0.8764705882352941,0.03572106793138205,0.4000000000000001
25,18,male,jacket,outerwear,22,florida,m,green,fall,2.9,yes,store pickup,yes,yes,16,debit card,weekly,7,1,1,0,1.0,highly promo sensitive,1.2941176470588236,154,2618,2618,medium,2,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.07249950401042995,0.38478659110953284,0.19705882352941176,0.01836693950888401,0.6000000000000002
26,18,male,hoodie,clothing,25,texas,m,silver,summer,3.6,yes,express,yes,yes,14,paypal,annually,1,1,1,0,1.0,highly promo sensitive,1.6666666666666667,25,375,375,low,1,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.008927812260862172,0.20959532252659588,0.007352941176470588,0.02595328408864045,0.9
27,38,male,jewelry,accessories,20,nevada,m,red,spring,3.6,yes,next day air,yes,yes,13,credit card,annually,1,1,1,0,1.0,highly promo sensitive,1.4285714285714286,20,280,280,low,1,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.006235297452030723,0.20718235410821076,0.0,0.02110486837977355,0.9
28,56,male,shorts,clothing,56,kentucky,l,cyan,summer,5.0,yes,next day air,yes,yes,7,bank transfer,every 3 months,2,1,1,1,1.0,highly promo sensitive,7.0,112,896,896,low,1,0.16666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.023694130317716746,0.32951843580727935,0.13529411764705881,0.13455779596725892,0.6500000000000001
29,54,male,handbag,accessories,94,north carolina,m,gray,fall,4.4,yes,free shipping,yes,yes,41,paypal,every 3 months,2,1,1,1,1.0,highly promo sensitive,2.238095238095238,188,7896,7896,high,3,0.16666666666666666,0.7083333333333334,0.8333333333333334,0.65,0.46875,0.22208995833687611,0.4213099167904557,0.24705882352941178,0.037589481789921,0.6500000000000001
30,31,male,dress,clothing,48,wyoming,s,black,fall,4.1,yes,store pickup,yes,yes,14,credit card,weekly,7,1,1,1,1.0,highly promo sensitive,3.2,336,5040,5040,high,3,1.0,0.9999999999999999,0.0,0.4,0.75,0.1411444605050591,0.5323417376473589,0.4647058823529412,0.05717708125374327,0.4000000000000001
31,57,male,jewelry,accessories,31,north carolina,l,black,winter,4.7,yes,standard,yes,yes,16,credit card,monthly,4,1,1,1,1.0,highly promo sensitive,1.8235294117647058,124,2108,2108,medium,2,0.5,0.8250000000000001,0.5,0.55,0.58125,0.05804495082617691,0.3834039680832796,0.15294117647058825,0.029147534438011578,0.5500000000000002
32,33,male,dress,clothing,79,west virginia,l,brown,winter,4.7,yes,store pickup,yes,yes,45,venmo,monthly,4,1,1,1,1.0,highly promo sensitive,1.7173913043478262,316,14536,14536,premium,4,0.5,0.8250000000000001,0.5,0.55,0.58125,0.4102825723436216,0.5631577238496793,0.43529411764705883,0.026986207435312094,0.5500000000000002
33,36,male,jacket,outerwear,67,kansas,m,silver,summer,4.9,yes,free shipping,yes,yes,37,venmo,annually,1,1,1,1,1.0,highly promo sensitive,1.763157894736842,67,2546,2546,medium,2,0.0,0.65,1.0,0.7,0.4125,0.07045886120794717,0.3134841308345462,0.06911764705882353,0.027918168349602295,0.7000000000000001
34,54,male,pants,clothing,38,colorado,l,green,summer,3.3,yes,store pickup,yes,yes,45,cash,quarterly,3,1,1,0,1.0,highly promo sensitive,0.8260869565217391,114,5244,5244,high,3,0.3333333333333333,0.5666666666666667,0.6666666666666667,0.8,0.32499999999999996,0.1469262817787603,0.32240459077942885,0.13823529411764707,0.00883626862951036,0.8000000000000002
35,36,male,t-shirt,clothing,91,north dakota,l,violet,spring,4.6,yes,2-day shipping,yes,yes,38,paypal,quarterly,3,1,1,1,1.0,highly promo sensitive,2.3333333333333335,273,10647,10647,premium,4,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.30005951874840575,0.4927659296011576,0.3720588235294118,0.03952884807346776,0.6000000000000002
36,54,male,blouse,clothing,33,massachusetts,m,cyan,summer,4.0,yes,2-day shipping,yes,yes,48,credit card,bi-weekly,6,1,1,1,1.0,highly promo sensitive,0.673469387755102,198,9702,9702,premium,4,0.8333333333333334,0.9416666666666668,0.16666666666666663,0.45,0.69375,0.2732760819658192,0.5188329031978407,0.26176470588235295,0.005728464274509963,0.45000000000000007
37,35,male,t-shirt,clothing,69,illinois,m,maroon,winter,4.6,yes,free shipping,yes,yes,44,paypal,fortnightly,5,1,1,1,1.0,highly promo sensitive,1.5333333333333334,345,15525,15525,premium,4,0.6666666666666666,0.8833333333333334,0.33333333333333337,0.5,0.6375,0.43831306861661423,0.6006644759765993,0.47794117647058826,0.023238171291674988,0.5000000000000001
38,35,male,jeans,clothing,45,indiana,s,cyan,summer,2.8,yes,store pickup,yes,yes,10,paypal,weekly,7,1,1,0,1.0,highly promo sensitive,4.090909090909091,315,3465,3465,medium,2,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.09650539920074823,0.44054159560261474,0.4338235294117647,0.0753189713061943,0.6000000000000002
39,29,male,dress,clothing,37,florida,m,red,winter,3.8,yes,2-day shipping,yes,yes,44,venmo,every 3 months,2,1,1,0,1.0,highly promo sensitive,0.8222222222222222,74,3330,3330,medium,2,0.16666666666666666,0.5083333333333333,0.8333333333333334,0.8500000000000001,0.26875,0.09267919394609302,0.27248673748897567,0.07941176470588235,0.008757569707859186,0.8500000000000002
40,70,male,pants,clothing,60,arizona,s,turquoise,summer,4.2,yes,express,yes,yes,18,credit card,monthly,4,1,1,1,1.0,highly promo sensitive,3.1578947368421053,240,4560,4560,high,3,0.5,0.8250000000000001,0.5,0.55,0.58125,0.12754017515517388,0.441844943657252,0.3235294117647059,0.05631967721259627,0.5500000000000002
41,69,male,handbag,accessories,76,louisiana,l,beige,winter,4.6,yes,next day air,yes,yes,31,debit card,quarterly,3,1,1,1,1.0,highly promo sensitive,2.375,228,7296,7296,high,3,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.2050846016495196,0.44628941449890047,0.3058823529411765,0.040377320822519464,0.6000000000000002
42,67,male,scarf,accessories,39,alaska,m,orange,spring,4.5,yes,standard,yes,yes,40,venmo,annually,1,1,1,1,1.0,highly promo sensitive,0.9512195121951219,39,1599,1599,low,1,0.0,0.65,1.0,0.7,0.4125,0.04361873990306947,0.29585479426019196,0.027941176470588237,0.01138438615370382,0.7000000000000001
43,20,male,coat,outerwear,100,tennessee,m,beige,spring,4.1,yes,free shipping,yes,yes,15,paypal,annually,1,1,1,1,1.0,highly promo sensitive,6.25,100,1600,1600,low,1,0.0,0.65,1.0,0.7,0.4125,0.04364708216421506,0.3138058905221811,0.11764705882352941,0.11928528648432819,0.7000000000000001
44,25,male,scarf,accessories,69,ohio,l,lavender,fall,3.7,yes,store pickup,yes,yes,19,paypal,fortnightly,5,1,1,0,1.0,highly promo sensitive,3.45,345,6900,6900,high,3,0.6666666666666666,0.6833333333333333,0.33333333333333337,0.7,0.4375,0.1938610662358643,0.4451062751433369,0.47794117647058826,0.06226791774805351,0.7000000000000001
45,39,male,hat,accessories,53,kentucky,s,silver,summer,4.6,yes,free shipping,yes,yes,45,paypal,weekly,7,1,1,1,1.0,highly promo sensitive,1.1521739130434783,371,17066,17066,premium,4,1.0,0.9999999999999999,0.0,0.4,0.75,0.4819884930419749,0.6619312666823383,0.5161764705882353,0.015476490143828067,0.4000000000000001
46,50,male,socks,clothing,21,tennessee,xl,indigo,fall,2.9,yes,2-day shipping,yes,yes,25,paypal,annually,1,1,1,0,1.0,highly promo sensitive,0.8076923076923077,21,546,546,low,1,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.013774338916758779,0.21011513626792439,0.0014705882352941176,0.008461692031266796,0.9
47,57,male,shirt,clothing,43,california,l,white,summer,2.9,yes,store pickup,yes,yes,45,cash,quarterly,3,1,1,0,1.0,highly promo sensitive,0.9347826086956522,129,5934,5934,high,3,0.3333333333333333,0.5666666666666667,0.6666666666666667,0.8,0.32499999999999996,0.1664824419692203,0.3336610115519722,0.16029411764705884,0.011049675800949595,0.8000000000000002
48,55,male,jewelry,accessories,54,montana,m,charcoal,winter,4.5,yes,free shipping,yes,yes,36,cash,weekly,7,1,1,1,1.0,highly promo sensitive,1.4594594594594594,378,13986,13986,premium,4,1.0,0.9999999999999999,0.0,0.4,0.75,0.39469432871354476,0.6334371326967995,0.5264705882352941,0.02173385203930223,0.4000000000000001
49,42,male,shirt,clothing,55,nevada,m,orange,summer,2.7,yes,store pickup,yes,yes,38,cash,monthly,4,1,1,0,1.0,highly promo sensitive,1.4102564102564104,220,8580,8580,high,3,0.5,0.625,0.5,0.75,0.38125,0.24147606496046253,0.40584015214792657,0.29411764705882354,0.020731913325245332,0.7500000000000001
50,68,male,hoodie,clothing,30,new jersey,s,indigo,spring,4.6,yes,next day air,yes,yes,34,debit card,bi-weekly,6,1,1,1,1.0,highly promo sensitive,0.8571428571428571,180,6300,6300,high,3,0.8333333333333334,0.9416666666666668,0.16666666666666663,0.45,0.69375,0.17685570954850777,0.4797916552047228,0.23529411764705882,0.009468670678492996,0.45000000000000007
51,49,male,blouse,clothing,28,maryland,m,red,spring,3.8,yes,store pickup,yes,yes,39,debit card,bi-weekly,6,1,1,0,1.0,highly promo sensitive,0.7,168,6720,6720,high,3,0.8333333333333334,0.7416666666666667,0.16666666666666663,0.65,0.49375,0.18875945922965734,0.4104285558284193,0.21764705882352942,0.006268716310640845,0.6500000000000001
52,59,male,skirt,clothing,59,vermont,xl,gray,winter,4.7,yes,2-day shipping,yes,yes,7,credit card,quarterly,3,1,1,1,1.0,highly promo sensitive,7.375,177,1416,1416,low,1,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.03843210611342573,0.3729610410612676,0.23088235294117648,0.1421940507087243,0.6000000000000002
53,42,male,t-shirt,clothing,20,alaska,m,green,summer,2.6,yes,free shipping,yes,yes,26,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,0.7407407407407407,140,3780,3780,medium,2,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.1054332114616104,0.3921957416586225,0.17647058823529413,0.007098334109713626,0.6000000000000002
54,29,male,skirt,clothing,24,mississippi,s,peach,winter,3.9,yes,next day air,yes,yes,35,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,0.6666666666666666,168,6048,6048,high,3,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.16971345973981805,0.42292912267364213,0.21764705882352942,0.00558993811139948,0.6000000000000002
55,47,male,coat,outerwear,94,new mexico,m,brown,summer,4.2,yes,next day air,yes,yes,35,debit card,bi-weekly,6,1,1,1,1.0,highly promo sensitive,2.611111111111111,564,20304,20304,premium,4,0.8333333333333334,0.9416666666666668,0.16666666666666663,0.45,0.69375,0.5737607346314089,0.7316495904543264,0.8,0.045185333067145804,0.45000000000000007
56,40,male,jacket,outerwear,28,south carolina,m,lavender,winter,3.0,yes,2-day shipping,yes,yes,49,credit card,annually,1,1,1,0,1.0,highly promo sensitive,0.56,28,1400,1400,low,1,0.0,0.44999999999999996,1.0,0.8999999999999999,0.2125,0.03797862993509622,0.22064546165375426,0.011764705882352941,0.003417847873827112,0.9
57,41,male,backpack,accessories,73,mississippi,xl,brown,summer,4.7,yes,store pickup,yes,yes,46,credit card,weekly,7,1,1,1,1.0,highly promo sensitive,1.553191489361702,511,24017,24017,premium,4,1.0,0.9999999999999999,0.0,0.4,0.75,0.6789955502650001,0.7720602072986323,0.7220588235294118,0.02364254979335069,0.4000000000000001
58,21,male,coat,outerwear,64,west virginia,m,white,summer,4.4,yes,store pickup,yes,yes,17,debit card,fortnightly,5,1,1,1,1.0,highly promo sensitive,3.5555555555555554,320,5760,5760,high,3,0.6666666666666666,0.8833333333333334,0.33333333333333337,0.5,0.6375,0.16155088852988692,0.4964447717697741,0.4411764705882353,0.06441738204565116,0.5000000000000001
59,69,male,hoodie,clothing,54,missouri,m,charcoal,summer,4.2,yes,free shipping,yes,yes,29,venmo,monthly,4,1,1,1,1.0,highly promo sensitive,1.8,216,6480,6480,high,3,0.5,0.8250000000000001,0.5,0.55,0.58125,0.18195731655471473,0.45383211961767955,0.28823529411764703,0.02866839688560591,0.5500000000000002
