Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,frequency_score,repeat_buyer_flag,subscription_flag,satisfaction_flag,promo_dependency_score,discount_sensitivity_segment,avg_spend_per_visit,spending_velocity_score,customer_lifetime_value_score,customer_lifetime_value_proxy,value_tier,value_tier_numeric,normalized_frequency_score,customer_engagement_score,low_frequency_risk,retention_risk_score,loyalty_score_v1,normalized_clv,loyalty_score_v2,normalized_spending_velocity,normalized_avg_spend,normalized_retention_risk,loyalty_segment,cluster,customer_segment,promo_revenue
1,55,male,blouse,clothing,53,kentucky,l,gray,winter,3.1,yes,express,yes,yes,14,venmo,fortnightly,5,1,1,0,1.0,highly promo sensitive,3.533333333333333,265,3975,3975,medium,2,0.6666666666666666,0.6833333333333333,0.3333333333333333,0.7,0.4375,0.1109599523850012,0.3925614735308289,0.3602941176470588,0.0639648632461569,0.7000000000000001,Growth,1,High-Value Promo Dependent,53
2,19,male,sweater,clothing,64,maine,l,maroon,winter,3.1,yes,express,yes,yes,2,cash,fortnightly,5,0,1,0,1.0,highly promo sensitive,21.33333333333333,320,960,960,low,1,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.7999999999999999,0.3,0.0255080350310347,0.3338297730451759,0.4411764705882353,0.4264324216410461,0.8,Growth,2,At-Risk Promo Customers,64
3,50,male,jeans,clothing,73,massachusetts,s,maroon,spring,3.1,yes,free shipping,yes,yes,23,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,3.0416666666666665,511,12264,12264,premium,4,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.3458889550208315,0.5854728989631733,0.7220588235294118,0.0539528848073467,0.6000000000000002,Loyal,1,High-Value Promo Dependent,73
4,21,male,sandals,footwear,90,rhode island,m,maroon,spring,3.5,yes,next day air,yes,yes,49,paypal,weekly,7,1,1,0,1.0,highly promo sensitive,1.8,630,31500,31500,premium,4,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.8910806904174815,0.8112900063520008,0.8970588235294118,0.0286683968856059,0.6000000000000002,Loyal,1,High-Value Promo Dependent,90
5,45,male,blouse,clothing,49,oregon,m,turquoise,spring,2.7,yes,free shipping,yes,yes,31,paypal,annually,1,1,1,0,1.0,highly promo sensitive,1.53125,49,1568,1568,low,1,0.0,0.4499999999999999,1.0,0.8999999999999999,0.2125,0.042740129807556,0.2284884571973505,0.0426470588235294,0.0231957476542224,0.9,Growth,2,At-Risk Promo Customers,49
6,46,male,sneakers,footwear,20,wyoming,m,white,summer,2.9,yes,standard,yes,yes,14,venmo,weekly,7,1,1,0,1.0,highly promo sensitive,1.3333333333333333,140,2100,2100,medium,2,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.0578182127370121,0.375530492105013,0.1764705882352941,0.0191655020962267,0.6000000000000002,Growth,1,High-Value Promo Dependent,20
7,63,male,shirt,clothing,85,montana,m,gray,fall,3.2,yes,free shipping,yes,yes,49,cash,quarterly,3,1,1,0,1.0,highly promo sensitive,1.7,255,12750,12750,premium,4,0.3333333333333333,0.5666666666666667,0.6666666666666667,0.8,0.3249999999999999,0.3596632939375903,0.4383331332703134,0.3455882352941176,0.0266320622878818,0.8000000000000002,Loyal,2,At-Risk Promo Customers,85
8,27,male,shorts,clothing,34,louisiana,l,charcoal,winter,3.2,yes,free shipping,yes,yes,19,credit card,weekly,7,1,1,0,1.0,highly promo sensitive,1.7,238,4760,4760,high,3,1.0,0.7999999999999999,0.0,0.6000000000000001,0.5499999999999999,0.1332086273842927,0.4307406666433259,0.3205882352941177,0.0266320622878818,0.6000000000000002,Loyal,1,High-Value Promo Dependent,34
9,26,male,coat,outerwear,97,west virginia,l,silver,summer,2.6,yes,express,yes,yes,8,venmo,annually,1,1,1,0,1.0,highly promo sensitive,10.77777777777778,97,873,873,low,1,0.0,0.4499999999999999,1.0,0.8999999999999999,0.2125,0.023042258311368,0.2357118492325082,0.113235294117647,0.2114859918812803,0.9,Growth,2,At-Risk Promo Customers,97
10,57,male,handbag,accessories,31,missouri,m,pink,spring,4.8,yes,2-day shipping,yes,yes,4,cash,quarterly,3,0,1,1,1.0,highly promo sensitive,6.2,93,465,465,low,1,0.3333333333333333,0.6166666666666667,0.6666666666666667,0.7000000000000001,0.3874999999999999,0.0114786157639656,0.2938214370860154,0.1073529411764705,0.1182671191854661,0.7000000000000002,Growth,2,At-Risk Promo Customers,31
11,53,male,shoes,footwear,34,arkansas,l,purple,fall,4.1,yes,store pickup,yes,yes,26,bank transfer,bi-weekly,6,1,1,1,1.0,highly promo sensitive,1.2592592592592593,204,5508,5508,high,3,0.8333333333333334,0.9416666666666668,0.1666666666666666,0.45,0.69375,0.1544086387211971,0.4789940039445759,0.2705882352941176,0.0176571060979126,0.45,Loyal,1,High-Value Promo Dependent,34
12,30,male,shorts,clothing,68,hawaii,s,olive,winter,4.9,yes,store pickup,yes,yes,10,bank transfer,fortnightly,5,1,1,1,1.0,highly promo sensitive,6.181818181818182,340,3740,3740,medium,2,0.6666666666666666,0.8833333333333334,0.3333333333333333,0.5,0.6375,0.1042995210157866,0.4822891460810155,0.4705882352941176,0.1178968765313344,0.5000000000000001,Loyal,1,High-Value Promo Dependent,68
13,61,male,coat,outerwear,72,delaware,m,gold,winter,4.5,yes,express,yes,yes,37,venmo,fortnightly,5,1,1,1,1.0,highly promo sensitive,1.894736842105263,360,13680,13680,premium,4,0.6666666666666666,0.8833333333333334,0.3333333333333333,0.5,0.6375,0.3860215968029929,0.5867742255477142,0.5,0.0305975559781866,0.5000000000000001,Loyal,1,High-Value Promo Dependent,72
14,65,male,dress,clothing,51,new hampshire,m,violet,spring,4.7,yes,express,yes,yes,31,paypal,weekly,7,1,1,1,1.0,highly promo sensitive,1.59375,357,11424,11424,premium,4,1.0,1.0,0.0,0.4,0.75,0.3220814556585324,0.6018461565393098,0.4955882352941176,0.0244684567777999,0.4000000000000001,Loyal,1,High-Value Promo Dependent,51
15,64,male,coat,outerwear,53,new york,l,teal,winter,4.7,yes,free shipping,yes,yes,34,debit card,weekly,7,1,1,1,1.0,highly promo sensitive,1.5142857142857142,371,12985,12985,premium,4,1.0,1.0,0.0,0.4,0.75,0.3663237253068049,0.6214485979750287,0.5161764705882353,0.0228502980349656,0.4000000000000001,Loyal,1,High-Value Promo Dependent,53
16,64,male,skirt,clothing,81,rhode island,m,teal,winter,2.8,yes,store pickup,yes,yes,8,paypal,monthly,4,1,1,0,1.0,highly promo sensitive,9.0,324,2916,2916,medium,2,0.5,0.625,0.5,0.75,0.38125,0.080945497831817,0.3802426889470183,0.4470588235294118,0.1752844879217408,0.7500000000000001,Growth,2,At-Risk Promo Customers,81
17,25,male,sunglasses,accessories,36,alabama,s,gray,spring,4.1,yes,next day air,yes,yes,44,debit card,bi-weekly,6,1,1,1,1.0,highly promo sensitive,0.8,216,9720,9720,premium,4,0.8333333333333334,0.9416666666666668,0.1666666666666666,0.45,0.69375,0.2737862426664399,0.5243055770901167,0.288235294117647,0.0083050509083649,0.45,Loyal,1,High-Value Promo Dependent,36
18,53,male,dress,clothing,38,mississippi,xl,lavender,winter,4.7,yes,2-day shipping,yes,yes,36,venmo,quarterly,3,1,1,1,1.0,highly promo sensitive,1.027027027027027,114,4218,4218,medium,2,0.3333333333333333,0.7666666666666667,0.6666666666666667,0.6000000000000001,0.525,0.1178471218433806,0.3822268848020459,0.138235294117647,0.0129280808059007,0.6000000000000002,Growth,1,High-Value Promo Dependent,38
